Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
25,-1,113,277,4,2.3,3,0,0,0,0,0,1
55,30,118,419,4,5.0,2,0,1,0,0,1,0
35,10,29,203,4,1.1,3,0,0,0,0,1,0
43,19,34,565,3,0.6,2,0,0,0,0,0,0
60,34,64,303,2,1.7,3,1,0,1,0,1,0
65,39,121,282,1,2.0,1,0,0,0,0,0,0
38,12,48,188,4,0.2,3,0,0,0,0,1,0
41,15,80,400,1,5.0,1,0,0,0,0,0,0
54,28,150,337,1,2.9,1,0,0,0,0,1,0
49,23,94,239,1,0.3,1,0,0,0,0,1,0
66,41,15,341,3,0.1,3,0,0,0,0,1,0
48,23,74,181,1,1.2,1,0,0,0,0,1,0
61,36,30,577,3,1.3,2,0,0,0,0,0,0
53,23,44,255,3,1.0,3,1,0,0,0,1,1
43,18,22,336,2,0.3,2,0,0,0,0,1,0
56,32,38,166,4,1.3,1,1,0,0,0,1,1
24,0,35,295,3,0.1,2,0,0,1,0,1,0
43,17,69,301,4,2.9,1,0,0,0,0,1,1
42,18,43,318,1,0.7,1,1,0,0,0,0,0
33,7,32,270,1,0.6,3,1,0,0,0,1,0
43,17,49,342,1,2.8,1,0,0,0,0,1,0
41,14,9,567,3,1.0,2,0,0,0,0,0,0
62,38,45,508,4,1.3,2,0,0,0,0,1,0
40,15,82,309,3,1.0,1,1,0,0,0,0,0
58,34,92,305,2,2.8,1,1,0,0,0,0,0
39,14,39,475,3,0.5,3,0,0,0,0,1,0
65,40,81,108,3,1.8,2,0,0,0,0,1,0
54,29,35,305,1,1.5,2,0,0,0,0,1,0
58,33,61,193,2,2.3,3,1,0,0,0,1,0
41,16,73,174,3,3.0,1,0,0,0,0,1,0
32,7,112,366,1,4.6,1,1,0,0,0,0,0
54,29,12,0,2,0.2,3,0,0,0,0,1,0
52,26,38,341,3,0.9,3,0,0,0,0,1,0
58,32,73,334,2,0.7,2,0,0,0,0,1,1
37,13,84,157,1,3.6,2,0,0,1,0,0,0
39,15,78,337,4,2.4,1,1,0,0,0,1,0
60,35,80,120,3,0.5,1,0,0,0,0,1,0
31,5,115,341,2,1.3,1,1,0,0,0,1,1
34,8,82,422,1,2.7,2,1,0,0,0,1,0
38,14,74,325,2,0.0,1,0,0,1,0,1,0
41,16,70,165,3,0.5,3,0,0,0,0,0,1
28,4,81,276,3,1.5,1,1,0,0,0,1,0
58,34,149,0,4,5.0,2,0,1,0,1,1,1
31,1,51,364,2,1.75,3,0,0,0,0,0,0
30,4,39,461,3,1.1,2,0,0,0,0,1,0
53,29,98,262,3,1.8,2,0,0,0,0,0,0
58,33,45,258,4,2.1,1,0,0,0,0,1,1
59,32,49,262,4,2.5,2,0,0,0,0,1,0
49,25,128,581,2,0.4,1,0,0,0,0,0,0
59,34,42,485,3,1.5,1,0,0,1,1,0,1
59,35,18,283,1,1.2,3,0,0,0,0,1,0
51,25,31,461,2,0.4,3,1,0,0,0,1,1
35,11,58,550,3,2.0,1,1,0,0,0,1,1
33,9,48,0,1,2.1,3,0,0,0,0,0,1
25,1,54,366,4,1.6,1,0,0,0,0,1,1
49,23,70,464,2,1.5,2,0,0,0,0,0,0
59,35,124,264,1,5.0,1,0,0,0,0,0,1
46,19,84,301,1,2.6666666666666665,2,0,0,0,0,1,1
50,25,83,342,4,3.6,3,1,0,0,0,1,0
52,28,150,116,2,0.4,1,1,0,0,0,1,0
48,22,42,547,3,2.2,2,0,0,0,0,0,0
46,22,118,77,2,5.0,1,0,0,0,1,1,1
26,0,132,169,3,5.0,3,0,1,0,0,0,1
57,32,24,477,1,1.3,1,0,0,0,0,1,1
60,36,22,169,2,1.0,1,0,0,1,1,1,1
54,29,58,282,4,1.3,3,0,0,0,0,0,0
24,0,60,380,4,1.6,1,0,0,0,0,1,0
26,0,15,165,4,0.4,1,0,0,0,0,0,1
41,17,83,553,4,2.6666666666666665,1,0,0,0,0,1,1
32,6,79,601,2,1.5,3,0,0,0,0,1,1
61,35,41,297,4,1.7,2,0,0,1,0,1,0
29,0,134,422,4,5.0,3,0,1,0,0,0,0
61,35,80,231,2,2.8,1,0,0,0,0,1,0
38,12,52,325,1,2.0,1,0,0,0,0,0,0
28,4,70,522,4,2.6,1,0,0,0,0,1,0
53,27,92,383,2,1.1,1,0,0,1,0,0,0
27,1,43,151,1,1.5,1,0,0,0,0,1,0
25,1,21,360,3,1.0,2,0,0,0,0,0,0
33,9,23,565,3,0.9,3,0,0,0,0,1,1
50,26,13,582,4,1.0,1,0,0,0,0,1,0
27,1,112,429,4,2.1,3,0,0,0,0,0,1
27,1,138,319,2,2.0,1,0,0,0,0,1,0
52,28,11,183,3,0.4,1,0,0,1,0,0,0
38,13,150,301,2,5.0,1,0,0,0,0,1,0
58,34,42,329,4,1.5,1,0,0,0,0,1,1
42,17,150,88,2,5.0,2,0,1,0,0,1,0
45,20,85,341,4,1.1,2,0,0,1,0,1,0
52,25,44,135,3,1.0,2,1,0,0,0,1,0
29,3,65,275,4,1.8,2,1,0,0,0,0,0
53,29,24,249,4,0.2,1,0,0,0,0,1,1
62,37,11,357,1,0.1,1,0,0,0,0,1,0
51,27,38,164,2,1.0,3,1,0,0,0,1,0
36,12,10,81,4,0.7,2,1,0,0,0,0,0
24,0,135,394,1,1.5,1,0,0,0,0,1,0
29,3,148,304,3,4.1,1,0,1,0,0,1,0
52,26,63,301,2,1.5,2,0,0,1,0,1,0
39,14,115,582,1,1.0,3,0,0,0,0,1,0
48,23,45,483,1,0.3,1,0,0,0,0,1,1
46,21,150,565,3,1.9,3,1,1,0,0,1,0
64,40,150,582,2,2.1,1,1,0,0,0,1,0
55,29,112,0,2,1.4,1,0,0,0,0,1,0
60,36,93,297,1,4.3,1,0,0,0,0,1,0
51,25,29,148,1,0.3,3,1,0,0,0,0,0
50,23,85,187,1,2.6666666666666665,2,0,0,0,0,1,0
48,24,21,161,4,0.6,1,0,0,0,0,1,1
53,29,144,112,2,5.0,1,0,0,0,0,1,0
34,10,13,95,4,1.0,1,1,0,1,0,1,0
48,24,150,164,1,5.0,1,0,0,0,0,0,1
55,31,9,89,4,0.7,1,1,0,0,0,1,0
27,3,59,90,4,0.0,1,1,0,1,0,1,0
36,11,150,359,1,5.0,3,0,1,0,1,1,1
32,6,29,446,1,1.9,3,0,0,0,0,1,1
35,9,20,344,2,1.4,3,0,0,0,0,1,1
30,3,68,391,4,2.0,2,0,0,0,0,1,0
58,34,65,149,4,2.2,1,0,0,0,0,1,0
56,31,61,294,2,1.9,2,1,0,0,0,0,0
38,12,91,483,4,1.4,2,1,0,0,0,0,1
49,25,31,446,1,1.0,1,0,0,1,0,1,0
34,10,71,308,4,0.1,2,0,0,0,0,0,0
40,16,73,437,4,2.6666666666666665,1,0,0,0,0,1,1
64,39,150,323,4,3.1,1,1,1,0,1,1,1
51,26,20,165,2,0.0,1,0,0,0,0,0,0
44,18,55,601,1,0.2,1,0,0,0,0,0,0
46,22,69,300,2,1.7,1,1,0,0,0,0,0
57,33,150,366,1,5.0,1,0,0,0,0,1,0
54,28,94,328,1,1.9,2,0,0,0,0,0,0
38,14,92,249,2,0.0,1,1,0,0,0,1,1
27,3,125,229,2,0.6,1,0,0,0,0,0,0
39,14,74,565,3,3.0,1,0,0,0,0,0,0
44,20,72,172,3,0.3,3,0,0,0,0,1,0
56,30,61,323,1,2.2,3,0,0,0,0,1,1
32,6,25,157,2,0.3,1,0,0,0,0,0,1
45,19,83,589,2,1.7,2,0,0,0,0,1,0
26,2,104,391,3,2.5,1,0,0,0,0,0,0
55,25,41,400,3,1.0,3,0,0,0,0,1,0
52,27,58,565,4,1.8,3,1,0,0,0,0,0
39,13,93,601,1,1.5,3,0,0,0,0,0,1
24,-1,39,255,2,1.7,2,0,0,0,0,0,0
47,23,148,169,2,5.0,1,0,0,0,1,1,1
47,22,53,281,4,1.9,3,1,0,1,1,0,1
48,24,71,477,2,1.7,1,1,0,0,0,0,1
47,22,92,601,1,2.8,2,0,0,0,0,1,0
35,10,61,366,4,2.1,3,0,0,0,0,1,0
46,19,38,325,3,2.5,2,1,0,0,0,0,0
62,37,58,582,4,1.7,1,0,0,0,0,1,0
26,1,80,483,1,0.8,2,1,0,0,0,0,0
38,8,71,601,4,1.8,3,0,0,0,0,1,0
43,18,89,164,3,0.5,3,0,0,0,0,1,1
62,38,83,297,1,1.8,3,0,0,0,0,1,0
57,32,28,550,3,0.2,1,0,0,0,0,1,1
28,3,52,149,4,1.7,2,0,0,0,0,0,0
51,26,70,466,1,1.2,1,1,0,0,0,0,0
48,22,71,341,1,1.4,3,0,0,0,0,0,1
41,16,75,280,1,3.7,3,1,0,0,0,0,0
65,39,150,329,3,5.0,3,1,1,0,1,1,0
41,17,78,553,4,0.8,1,1,0,0,0,1,0
35,11,25,256,2,1.0,2,0,0,0,0,0,0
38,14,60,553,2,0.6,3,0,0,0,0,1,1
53,29,120,139,4,2.7,2,1,1,1,1,1,0
55,29,99,337,2,1.4,1,1,0,0,0,1,1
26,1,55,466,3,2.6,3,1,0,0,0,0,1
30,6,29,565,3,1.0,2,1,0,0,0,0,0
54,28,150,325,2,5.0,2,1,1,0,0,1,0
65,40,53,341,3,2.2,1,0,0,0,0,0,1
47,21,138,199,1,0.0,1,0,0,0,0,0,0
65,41,134,357,3,3.9,3,1,1,0,0,1,0
66,40,42,138,2,0.7,3,1,0,0,0,0,1
26,0,99,112,4,2.3,3,0,0,0,0,0,1
66,41,18,220,3,0.5,1,0,0,0,0,0,1
35,9,24,149,4,0.3,1,0,0,0,0,1,0
56,30,55,77,1,1.4,1,1,0,0,0,1,0
51,27,58,275,1,0.0,1,0,0,0,0,0,1
42,16,111,496,2,1.2,3,1,1,0,0,1,0
49,23,33,461,1,0.3,3,0,0,0,1,1,1
27,1,74,337,4,1.8,2,1,0,0,0,1,1
45,19,38,364,2,0.7,1,0,0,0,0,0,0
49,23,23,565,4,0.6,3,1,0,1,0,0,0
63,38,61,601,2,1.5,1,0,0,0,0,1,0
47,22,81,138,1,2.9,1,1,0,0,0,0,0
64,39,129,91,1,2.5,1,0,0,0,0,1,0
43,13,33,321,1,0.75,3,0,0,0,0,0,0
60,36,63,171,4,2.2,1,0,0,0,0,1,0
40,14,70,126,4,1.4,2,0,0,0,0,1,0
29,3,45,405,4,0.2,1,1,0,0,0,1,1
41,16,65,329,3,0.5,3,0,0,0,0,1,0
30,5,74,483,4,2.2,1,0,0,1,0,0,1
49,24,50,151,4,1.8,3,0,0,1,0,0,0
30,5,22,109,4,0.5,3,1,0,0,0,1,0
29,2,30,612,4,1.0,3,0,0,0,0,0,0
50,26,21,522,4,1.0,1,0,0,0,0,1,0
39,14,150,95,2,3.9,1,0,0,0,0,1,0
33,8,64,337,4,2.1,3,1,0,0,0,1,0
57,31,65,115,4,2.6,3,0,0,0,0,0,1
34,9,71,341,4,0.7,3,0,0,0,0,1,0
61,36,40,79,3,0.5,2,0,0,1,0,1,0
44,19,69,120,3,0.5,3,0,0,0,0,1,0
40,13,69,565,3,2.3333333333333335,2,0,0,0,0,0,0
51,25,45,271,3,0.6,2,1,0,0,0,1,0
37,12,62,481,3,0.7,2,0,0,0,0,0,1
44,19,150,391,2,4.3,3,1,1,1,1,1,0
42,15,24,337,3,1.0,2,0,0,0,0,1,1
51,25,80,415,1,4.9,1,0,0,0,0,0,0
43,16,8,466,3,0.6666666666666666,2,1,0,0,0,1,0
30,5,38,342,4,0.8,1,1,0,0,0,1,1
45,19,93,329,4,2.6,3,0,0,0,0,0,0
35,9,55,0,1,2.0,1,0,0,0,0,1,0
60,34,64,366,2,1.7,3,0,0,0,0,0,1
34,9,122,0,1,0.0,1,0,0,0,0,1,0
55,25,70,0,3,1.4,3,0,0,0,0,1,0
43,19,81,358,2,3.2,1,0,0,0,0,0,0
41,15,150,0,1,5.0,3,0,1,0,1,1,0
34,9,70,171,4,1.3,1,0,0,1,0,0,0
65,39,150,196,2,5.0,1,1,0,0,0,0,0
45,21,150,303,2,5.0,1,0,0,0,0,1,0
49,25,150,617,4,3.0,1,1,1,0,0,0,0
48,23,22,213,1,0.1,1,0,0,0,0,0,0
60,35,22,123,1,1.3,1,1,0,0,0,1,0
55,29,79,415,3,0.8,1,0,0,0,0,1,1
42,18,33,164,1,1.4,3,0,0,0,0,1,0
32,8,128,601,2,4.333333333333333,1,0,0,0,1,1,1
62,38,91,308,1,3.8,1,0,0,1,0,1,0
57,32,39,419,4,0.9,1,0,0,0,0,1,1
52,26,121,303,1,5.0,1,1,0,0,0,1,0
36,6,21,208,1,0.6666666666666666,3,0,0,1,0,1,0
34,9,41,0,3,2.3,1,0,0,0,0,0,1
63,37,45,172,2,0.7,3,0,0,0,0,1,0
24,-2,51,249,3,0.3,3,0,0,0,0,1,0
57,31,150,581,1,1.6,2,0,1,0,0,1,0
40,16,119,178,2,4.2,2,0,1,0,0,1,0
27,2,110,336,4,1.8,3,1,0,0,0,1,0
65,39,20,433,3,0.7,2,0,0,0,0,0,1
60,34,64,449,1,0.8,2,1,0,0,0,0,0
44,20,101,301,3,4.4,2,1,1,0,0,0,0
63,39,101,184,1,3.9,1,0,1,1,1,1,0
59,34,99,433,1,4.4,1,0,1,0,0,0,0
56,30,150,466,4,5.0,1,0,1,0,0,0,0
54,28,89,321,1,1.9,2,0,0,0,0,1,1
52,27,80,483,1,1.3,3,0,0,0,1,1,1
58,32,114,567,2,2.0,1,1,0,0,0,1,0
60,35,49,437,3,0.5,2,0,0,0,0,1,1
28,4,150,167,1,5.0,1,0,0,0,0,1,0
54,30,78,239,4,1.0,2,0,0,0,0,1,0
32,6,28,308,3,1.0,1,0,0,0,0,0,0
59,33,42,0,1,0.8,2,0,0,0,0,1,0
63,38,140,275,1,2.5,1,0,0,0,0,0,0
48,23,45,231,1,1.3,2,0,0,0,0,1,0
56,32,122,360,2,0.3,1,1,0,0,1,1,1
36,12,65,589,3,2.6,2,0,0,0,0,1,0
57,27,68,366,1,1.4,3,0,0,0,0,1,0
29,3,150,392,2,2.0,1,1,0,0,0,0,0
39,13,89,481,4,1.4,2,0,0,0,0,0,0
59,34,91,81,1,2.6,1,0,0,0,0,1,1
31,6,55,185,4,2.0,2,1,0,0,0,1,0
43,19,118,228,2,3.3,1,0,0,0,0,0,1
35,5,22,164,1,0.6666666666666666,3,1,0,0,0,0,0
54,24,63,352,3,1.4,3,1,0,0,0,1,1
51,27,12,78,4,0.5,2,1,0,1,0,1,0
44,19,50,0,3,2.7,2,0,0,0,0,1,0
25,0,43,565,2,1.6,3,0,0,1,1,1,1
40,15,150,226,4,5.0,1,0,1,0,1,1,1
26,2,60,164,2,3.0,1,1,1,0,0,0,0
39,14,113,160,1,1.0,3,0,0,1,0,1,0
28,4,150,325,4,5.0,2,0,1,0,0,1,0
52,28,91,0,4,1.0,2,0,0,0,0,0,1
53,29,55,249,4,1.1,2,0,0,0,0,1,0
44,20,150,419,2,1.4,1,1,0,0,0,1,0
43,19,71,207,3,0.3,3,0,0,0,0,0,1
56,30,24,295,2,0.4,3,1,0,0,0,0,0
38,14,42,234,1,2.0,2,1,0,0,0,1,0
30,6,141,287,2,4.333333333333333,1,0,0,0,0,1,0
32,6,32,496,1,1.9,3,0,0,0,0,1,0
35,10,55,287,4,1.3,1,0,0,0,0,0,0
43,19,150,228,2,5.0,1,0,0,0,0,1,0
58,32,113,270,2,1.4,1,1,0,0,0,0,1
25,0,30,220,2,1.7,2,0,0,0,0,0,0
54,24,29,342,3,1.0,3,1,0,0,0,0,1
57,32,150,466,1,5.0,2,1,1,0,0,1,0
50,24,35,301,1,0.3,3,0,0,0,0,1,0
32,8,98,581,2,2.0,2,1,0,0,0,1,0
63,37,30,159,2,1.0,3,1,0,0,0,1,0
31,6,58,589,2,2.5,1,0,0,0,0,0,1
36,12,25,207,4,1.0,1,1,0,0,0,0,0
58,34,19,0,4,0.7,1,0,0,0,0,0,0
56,30,44,174,4,0.7,2,1,0,0,0,1,0
49,25,20,328,4,1.0,1,1,0,0,0,1,1
30,5,98,220,2,3.1,1,1,0,0,0,1,0
33,7,90,224,3,1.6,1,0,0,0,0,1,0
45,21,61,366,3,0.7,1,0,0,0,0,0,0
30,5,40,166,4,2.0,2,0,0,0,0,1,0
47,23,38,97,2,2.1,3,0,0,0,0,0,0
25,0,28,464,2,1.7,2,0,0,0,0,0,0
63,33,34,565,1,1.5,3,0,0,0,0,1,1
55,29,73,483,2,2.3,3,0,0,0,0,1,1
65,41,133,152,4,2.0,1,0,1,0,0,0,1
44,18,53,577,1,0.2,1,0,0,0,0,1,0
51,25,21,0,4,0.6,3,0,0,0,0,1,1
35,9,40,524,3,0.9,1,0,0,0,0,1,0
30,5,41,589,4,1.7,2,0,0,0,0,1,0
31,5,82,140,4,1.8,2,0,0,0,0,1,0
54,30,100,421,4,3.4,3,0,1,0,0,0,0
45,20,150,400,1,5.0,1,0,0,0,0,1,1
45,19,45,297,1,0.2,1,0,0,0,0,1,0
58,32,9,181,3,0.3,3,0,0,0,0,0,1
54,29,48,305,4,1.8,3,0,0,0,0,1,0
53,28,18,329,4,0.1,3,1,0,1,1,1,1
33,9,80,278,4,3.4,1,0,0,0,0,1,1
60,35,64,0,2,2.8,1,0,0,0,0,0,0
50,24,29,257,4,0.1,1,0,0,0,0,0,0
26,2,48,429,3,0.7,2,0,0,0,0,1,0
54,30,23,577,2,0.4,1,0,0,0,0,0,0
28,3,84,400,4,0.2,1,0,0,0,0,1,1
36,10,150,342,3,5.0,1,0,1,0,0,1,0
29,2,30,149,4,1.5,2,1,0,0,0,0,1
54,28,93,300,1,4.9,1,1,0,0,1,1,1
55,30,39,174,2,1.9,2,0,0,0,0,0,0
61,36,60,275,3,0.5,2,1,0,0,0,0,0
36,11,133,461,1,3.8,1,1,0,1,1,1,1
45,19,125,475,1,2.4,1,0,0,0,0,0,0
64,40,58,172,1,1.8,3,0,0,0,0,1,0
60,36,89,157,2,2.8,1,0,0,0,0,1,0
49,22,82,412,1,2.6666666666666665,2,1,0,0,0,1,0
47,23,110,408,2,3.3,1,0,0,0,0,1,1
60,36,54,325,4,2.3,3,0,0,1,0,0,0
45,20,89,166,4,1.9,3,0,0,0,0,1,0
32,7,42,275,3,2.3,1,0,0,0,0,1,0
52,28,41,358,3,1.9,2,0,0,0,0,0,1
35,8,38,496,4,1.0,2,1,0,0,0,1,0
40,15,85,366,2,0.4,1,0,0,0,0,1,0
53,29,83,185,4,1.0,2,0,0,0,0,1,0
27,0,33,466,4,1.0,3,0,0,0,0,0,0
58,33,50,394,4,2.1,1,0,0,0,0,0,1
47,22,58,174,4,3.6,3,0,0,0,0,1,1
28,3,115,0,4,3.1,2,0,1,0,0,0,0
46,20,145,229,2,5.0,1,0,0,1,1,1,0
43,19,150,483,2,5.0,1,0,0,0,0,0,0
56,30,38,0,1,0.2,1,0,0,0,0,0,0
28,3,28,115,4,0.8,1,0,0,0,0,1,0
42,18,75,325,3,2.3333333333333335,1,0,0,0,0,0,1
32,7,35,297,3,1.3,1,1,0,0,0,0,1
62,38,24,601,2,1.0,1,1,0,0,0,0,1
37,13,78,157,4,0.1,2,0,0,0,0,1,0
51,26,113,312,1,1.3,3,1,0,0,0,1,0
39,13,75,565,3,2.1,1,1,0,0,0,1,0
43,17,91,278,1,5.0,1,0,0,0,0,1,0
52,28,31,567,4,0.2,1,1,0,0,0,1,1
30,6,45,422,1,1.8,2,0,0,0,0,1,0
52,26,80,184,3,0.8,1,0,0,0,0,0,0
61,35,50,187,3,1.4,3,1,0,0,0,1,0
36,9,31,181,4,1.0,2,0,0,1,0,1,0
58,32,113,524,2,3.8,2,1,1,0,1,1,1
47,23,29,366,4,0.6,1,0,0,0,0,1,0
64,39,59,139,2,1.5,1,1,0,0,0,1,0
52,27,43,255,1,1.3,2,0,0,1,0,1,0
58,28,122,270,1,3.0,3,1,1,0,0,1,0
48,24,29,169,1,1.0,1,0,0,0,0,0,0
64,40,91,496,2,0.0,3,0,0,0,0,1,1
58,32,65,270,3,2.2,3,0,0,0,0,1,0
47,23,22,449,1,1.0,1,0,0,0,0,0,1
49,23,71,268,1,1.4,3,0,0,0,0,0,0
31,4,60,313,4,2.0,2,0,0,0,0,1,1
61,37,60,136,3,2.0,3,0,0,0,0,1,0
51,25,69,149,1,0.3,1,0,0,0,0,1,1
28,-2,48,275,2,1.75,3,1,0,0,0,1,0
39,13,21,185,3,0.2,2,0,0,0,0,0,0
54,28,53,121,4,2.8,2,0,0,1,0,0,0
50,24,29,437,3,0.9,3,0,0,0,0,0,0
30,4,60,541,4,2.2,2,0,0,0,0,1,0
64,39,42,116,3,0.5,2,1,0,0,0,1,0
29,3,69,277,3,0.3,3,0,0,0,0,0,0
48,24,20,145,1,1.0,1,0,0,0,0,1,1
35,10,150,541,2,3.0,1,1,0,0,0,0,0
60,36,141,419,2,2.1,1,0,0,0,0,1,1
55,30,81,207,2,3.7,1,0,0,1,0,0,0
29,4,150,116,3,5.0,3,0,1,0,0,1,0
48,22,149,485,2,5.0,2,0,1,1,1,1,0
43,19,83,565,4,3.6,3,0,1,0,0,0,1
66,42,35,565,1,1.9,2,1,0,0,0,1,0
25,0,13,150,2,0.9,3,0,0,0,0,1,0
45,20,39,186,1,2.4,1,0,0,0,0,0,1
34,10,21,0,1,0.5,3,0,0,0,0,1,0
48,23,10,344,2,0.7,3,0,0,0,0,1,1
32,6,84,0,4,1.8,2,0,0,0,0,0,0
50,24,30,183,4,0.1,1,1,0,0,0,1,1
43,19,31,264,4,0.3,1,1,0,0,0,1,0
64,39,150,547,1,1.2,2,1,1,0,0,1,0
60,34,114,248,2,5.0,1,0,0,0,0,1,0
43,19,150,151,3,5.0,2,0,1,0,0,0,0
60,34,53,301,1,0.8,2,0,0,1,0,0,1
64,39,24,110,4,0.4,2,1,0,0,0,1,0
44,20,150,226,2,3.3,1,0,0,0,0,0,1
60,36,132,470,2,5.0,1,1,0,0,0,1,1
54,29,68,157,3,1.6,3,0,0,0,0,1,1
33,9,53,171,1,1.2,1,0,0,0,0,0,1
56,32,150,185,1,4.6,2,1,1,0,1,1,0
29,5,30,329,3,1.0,2,0,0,0,0,0,0
25,1,113,405,2,0.2,1,0,0,0,0,1,1
60,34,15,400,1,0.8,2,0,0,0,0,1,0
55,30,84,304,2,3.7,1,1,0,1,0,1,0
39,13,88,366,4,1.4,2,0,0,0,0,1,1
37,13,43,325,3,2.8,1,0,0,0,0,1,0
53,28,43,229,2,2.1,3,0,0,0,1,1,1
34,10,90,277,2,2.7,1,0,0,0,0,1,0
42,18,34,236,4,0.3,1,1,0,1,0,1,0
60,36,38,380,4,1.3,1,0,0,0,0,1,0
